HistoricalCode,BfsCode,Name,CantonId,Canton,DistrictId,District,FUA2014,DEGURB2021,FUA2021,GCITIES2021,STREG2022,DEGURB2011,GCITIES2011,REGCH,AGKG2020,STADTE2020,STGD2020,RSC2020,SPRGEB2020,AGKSA2020,AGGL2020,AGGLGK2020,MONT2019,STALAN2020,GDETYP2020_9,GDETYP2020_25,GBAE2018,BAE2018
11778,1361,Alpthal,5,Schwyz,10068,Bezirk Schwyz,0,3,0,0,4,3,0,6,0,0,0,0,1,0,0,0,1,3,32,327,11,11080
11783,4191,Ammerswil,19,Aargau,10020,Bezirk Lenzburg,261960,2,261960,0,14,2,0,3,0,0,0,5,1,0,0,0,0,3,23,235,10,10020
11784,1202,Andermatt,4,Uri,10061,Kanton Uri,0,3,0,0,4,3,0,6,0,0,0,0,1,0,0,0,1,2,31,314,11,11070
11786,82,Boppelsen,1,Zürich,10080,Bezirk Dielsdorf,261960,2,261960,0,3,2,0,4,261810,0,0,4,1,261910,261,1,0,3,23,235,12,12031
11789,2571,Boningen,11,Solothurn,10111,Bezirk Olten,0,2,0,0,14,2,0,2,2581810,0,0,4,1,2581910,2581,3,0,3,23,236,10,10020
11790,4192,Boniswil,19,Aargau,10020,Bezirk Lenzburg,0,2,0,0,14,2,0,3,0,0,0,0,1,0,0,0,0,3,32,326,10,10020
11792,1501,Beckenried,7,Nidwalden,10110,Kanton Nidwalden,1061960,2,1061960,0,4,2,0,6,0,0,0,0,1,0,0,0,1,3,32,327,11,11050
11798,5304,Bosco/Gurin,21,Ticino,10042,Distretto di Vallemaggia,0,3,0,0,12,3,0,7,0,0,0,0,3,0,0,0,1,3,33,338,13,13020
11799,2323,Bossonnens,10,Fribourg / Freiburg,10101,District de la Veveyse,5586960,2,5586960,0,13,2,0,2,0,0,0,5,2,0,0,0,0,2,22,226,2,2050
11800,4228,Boswil,19,Aargau,10019,Bezirk Muri,0,3,0,0,14,3,0,3,0,0,0,5,1,0,0,0,0,2,22,226,11,11060
11801,3,Bonstetten,1,Zürich,10053,Bezirk Affoltern,261960,2,261960,0,3,2,0,4,261810,0,0,4,1,261910,261,1,0,2,22,227,12,12034
11806,5154,Bissone,21,Ticino,10003,Distretto di Lugano,5192960,2,5192960,0,12,2,0,7,5192810,0,0,4,3,5192910,5192,3,1,2,22,227,14,14010
11807,6172,Bister,23,Valais / Wallis,10125,Bezirk Raron,0,3,0,0,11,3,0,1,6002810,0,0,4,1,6002910,6002,5,1,3,23,235,7,7090
11808,6173,Bitsch,23,Valais / Wallis,10125,Bezirk Raron,0,2,0,0,11,2,0,1,6002810,0,0,4,1,6002910,6002,5,1,2,22,227,7,7090
